flood_exposure,flood_boundary_distance,easement_encroachment_pct,lot_coverage_ratio,property_age,num_transfers_5yr,avg_holding_period_years,ownership_anomaly_score,cv_vs_recorded_area_delta,label
0,434.7,0.186,0.83,10,0,6.0,0.0,0.11,0
0,202.8,0.055,0.506,43,1,14.94,0.23,0.041,0
0,446.3,0.285,1.0,53,0,13.5,0.079,0.016,0
0,265.2,0.237,0.55,8,0,15.7,0.0,0.151,0
0,294.7,0.239,0.488,14,0,15.8,0.067,0.165,0
1,0.0,0.321,0.554,66,0,12.9,0.167,0,1
0,481.0,0.106,0.464,57,0,8.3,0.0,0.281,0
1,0.0,0.093,0.667,52,6,0.88,0.953,0.117,1
0,358.9,0.131,0.342,57,1,0.97,0.444,0.051,0
0,475.6,0.078,0.856,73,0,28.2,0.25,0.036,0
0,444.9,0.15,0.827,41,2,9.37,0.256,0.045,0
1,0.0,0.224,0.557,76,1,8.02,0.021,0.13,1
0,103.0,0.154,0.462,60,2,4.77,0.207,0.157,0
0,237.2,0.226,0.333,7,4,2.46,0.356,0.095,0
0,442.4,0.032,0.903,61,0,7.3,0.17,0.019,0
0,266.7,0.134,0.362,11,2,1.14,0.443,0.114,0
0,435.7,0.063,0.451,24,1,9.58,0.006,0.081,0
0,11.7,0.268,0.815,12,0,20.2,0.0,0.052,0
0,48.9,0.21,0.464,10,1,1.21,0.207,0.119,0
0,81.2,0.011,0.477,70,0,7.7,0.109,0.048,0
1,0.0,0.2,0.519,7,2,14.01,0.394,0.106,1
0,449.8,0.287,0.299,21,0,8.1,0.107,0,0
0,309.9,0.038,0.31,4,1,6.69,0.185,0.086,0
1,0.0,0.348,0.729,18,4,11.07,0.268,0.052,1
0,489.8,0.001,0.784,55,5,14.99,0.501,0,0
1,0.0,0.282,0.361,45,1,11.96,0.108,0.139,1
0,177.3,0.254,0.907,57,2,12.59,0.26,0.131,0
0,400.7,0.226,0.522,13,2,7.21,0.34,0,0
1,0.0,0.254,0.263,8,6,5.31,0.692,0.173,1
0,485.1,0.098,0.486,13,0,19.3,0.0,0.119,0
0,357.8,0.095,0.409,24,1,3.63,0.025,0.037,0
0,391.1,0.32,0.793,17,0,9.8,0.194,0,0
0,387.0,0.034,0.346,77,3,6.12,0.324,0.076,0
0,466.8,0.24,0.507,76,0,18.0,0.003,0,0
0,167.2,0.067,0.775,66,1,2.67,0.109,0.048,0
1,0.0,0.196,0.46,41,1,2.55,0.127,0,1
1,0.0,0.312,0.336,21,6,1.23,0.838,0.025,1
0,97.7,0.209,0.74,24,5,5.66,0.517,0.096,1
0,487.1,0.265,0.314,22,0,16.4,0.0,0,0
0,240.6,0.332,0.725,35,2,3.16,0.328,0.014,0
0,24.8,0.166,0.817,45,2,9.26,0.182,0.076,1
0,169.7,0.227,0.523,29,1,9.5,0.0,0,0
1,0.0,0.151,0.486,51,0,21.6,0.111,0.213,0
1,0.0,0.293,0.574,10,0,25.6,0.162,0.229,0
1,0.0,0.27,0.656,74,0,10.4,0.07,0.118,1
0,381.0,0.231,0.515,8,3,3.34,0.314,0,0
0,460.1,0.328,0.716,3,4,6.36,0.356,0.096,0
0,451.5,0.339,0.849,36,0,26.5,0.099,0.006,0
0,358.8,0.142,0.707,21,0,9.7,0.0,0,0
0,85.6,0.349,0.257,79,0,23.0,0.0,0.057,0
0,431.5,0.313,0.736,23,4,6.65,0.447,0.084,0
0,101.0,0.212,0.74,17,1,6.46,0.058,0.028,0
0,65.5,0.169,0.681,46,3,8.0,0.332,0,1
0,241.5,0.26,0.611,7,1,9.39,0.252,0,0
0,291.2,0.116,0.881,44,0,5.9,0.057,0.168,0
1,0.0,0.091,0.363,75,6,14.86,0.701,0,1
1,0.0,0.027,0.626,46,1,0.71,0.34,0.088,1
1,0.0,0.259,0.783,48,1,7.53,0.211,0,1
0,301.8,0.288,0.556,32,1,10.08,0.185,0.043,0
1,0.0,0.257,0.398,67,0,9.2,0.0,0.09,1
1,0.0,0.082,0.596,63,4,13.12,0.283,0.233,1
0,197.2,0.11,0.28,13,6,5.63,0.727,0,0
0,140.9,0.034,0.573,51,6,9.04,0.585,0.075,1
0,163.5,0.004,0.259,69,4,2.01,0.384,0.069,0
0,313.5,0.02,0.843,5,6,2.27,0.714,0.083,1
1,0.0,0.045,0.729,58,0,22.4,0.048,0.14,0
0,387.0,0.242,0.489,61,0,11.9,0.0,0.123,0
0,136.5,0.284,0.575,56,5,6.19,0.521,0.02,1
1,0.0,0.225,0.325,72,0,19.3,0.023,0.05,0
0,82.9,0.224,0.442,39,2,8.83,0.014,0.032,0
0,274.7,0.001,0.56,36,2,10.39,0.256,0,0
0,189.0,0.299,0.512,44,6,3.45,0.403,0,1
0,449.3,0.221,0.843,25,1,2.53,0.079,0.095,0
1,0.0,0.083,0.558,42,3,8.24,0.405,0,1
0,175.5,0.252,0.718,15,3,14.13,0.349,0.118,0
1,0.0,0.082,0.329,79,3,13.65,0.295,0.01,1
0,453.3,0.287,0.363,6,0,25.4,0.036,0.124,0
1,0.0,0.077,0.786,30,2,2.25,0.199,0,1
0,384.5,0.208,0.406,28,0,22.4,0.283,0,0
1,0.0,0.014,0.724,33,0,5.4,0.039,0.051,0
1,0.0,0.31,0.82,21,0,10.2,0.089,0,1
0,127.2,0.061,0.752,3,0,20.7,0.069,0,0
0,493.4,0.342,0.737,12,4,3.68,0.452,0.065,0
0,36.0,0.039,0.947,21,3,3.06,0.336,0.029,1
0,133.2,0.216,0.665,13,0,9.0,0.0,0.145,0
0,448.6,0.252,0.539,40,1,11.8,0.129,0.082,0
0,446.8,0.026,0.847,63,1,13.95,0.0,0,0
0,234.3,0.068,0.41,65,0,22.3,0.1,0.066,0
0,382.6,0.077,0.803,3,0,19.5,0.0,0,0
0,429.9,0.171,0.836,46,0,23.3,0.043,0,0
1,0.0,0.331,0.572,76,0,29.8,0.166,0.04,0
0,270.2,0.168,0.409,10,0,22.3,0.0,0.081,0
0,17.8,0.234,0.876,7,0,29.4,0.107,0.007,0
0,100.6,0.305,0.674,72,2,13.45,0.237,0.068,0
1,0.0,0.19,0.311,39,0,17.9,0.086,0.114,0
0,64.4,0.128,0.455,10,0,19.0,0.058,0.007,0
0,371.3,0.263,0.813,40,2,13.52,0.357,0,0
0,41.1,0.121,0.814,21,4,10.34,0.369,0.036,0
0,102.3,0.309,0.762,45,0,7.7,0.0,0.03,0
0,83.7,0.071,0.483,12,0,16.8,0.0,0.113,0
0,437.2,0.081,0.542,38,6,9.87,0.659,0.0,0
1,0.0,0.295,0.624,42,0,24.7,0.064,0.126,0
0,183.0,0.16,0.363,13,1,3.14,0.338,0.107,0
0,89.0,0.041,0.554,34,0,10.1,0.011,0,0
0,274.5,0.057,0.264,18,0,28.7,0.042,0.092,0
1,0.0,0.341,0.46,44,5,10.17,0.599,0,1
0,368.5,0.315,0.334,78,2,9.45,0.207,0.064,0
0,37.0,0.224,0.781,46,1,0.83,0.195,0.029,1
1,0.0,0.138,0.631,74,6,5.74,0.612,0.144,1
0,199.2,0.004,0.876,10,0,10.4,0.175,0,0
0,404.8,0.34,0.552,6,5,1.75,0.755,0.074,0
1,0.0,0.345,0.711,33,0,5.2,0.0,0.001,1
1,0.0,0.264,0.749,44,4,7.61,0.549,0.08,1
1,0.0,0.106,0.414,81,0,11.6,0.232,0.009,0
0,214.4,0.172,0.323,46,3,14.92,0.375,0.171,0
1,0.0,0.168,0.734,21,0,14.3,0.048,0.035,0
0,166.6,0.307,0.284,35,2,9.73,0.382,0.074,0
0,269.5,0.328,0.627,69,5,11.41,0.355,0.006,1
0,143.0,0.244,0.581,63,0,8.4,0.0,0.023,0
0,176.8,0.319,0.552,57,4,9.39,0.51,0,1
0,214.5,0.321,0.943,20,2,5.02,0.225,0,0
1,0.0,0.183,0.43,66,1,2.37,0.098,0,1
0,218.2,0.267,0.692,26,0,9.9,0.114,0.165,0
1,0.0,0.021,0.284,43,6,0.65,0.842,0.073,1
0,100.5,0.123,0.69,46,5,5.54,0.471,0.1,1
1,0.0,0.085,0.717,80,4,3.65,0.479,0.111,1
0,462.9,0.322,0.627,25,6,14.39,0.578,0.082,0
0,217.8,0.18,0.821,66,3,2.1,0.461,0.152,1
0,50.3,0.173,0.622,42,6,14.65,0.527,0,1
0,492.6,0.15,0.868,34,0,5.3,0.0,0,0
0,68.4,0.138,0.836,60,0,14.1,0.124,0.067,0
0,70.2,0.293,0.692,7,5,4.46,0.585,0,1
1,0.0,0.333,0.35,23,0,8.1,0.117,0,0
0,24.6,0.258,0.268,59,2,9.27,0.211,0.11,0
1,0.0,0.269,0.647,19,4,4.29,0.332,0,1
1,0.0,0.006,0.954,66,2,7.03,0.315,0,1
0,443.5,0.057,0.665,19,0,19.2,0.064,0,0
1,0.0,0.2,0.358,74,2,4.32,0.168,0.008,1
0,167.0,0.01,0.463,7,0,24.1,0.0,0,0
0,179.1,0.125,0.387,51,6,5.03,0.781,0.112,1
0,19.7,0.114,0.55,16,2,4.37,0.214,0.015,0
0,195.1,0.137,0.528,55,2,7.7,0.306,0,0
0,108.9,0.222,0.657,45,1,1.19,0.373,0.131,0
0,316.0,0.335,0.442,73,5,12.12,0.482,0.058,1
0,257.3,0.105,0.386,30,1,9.56,0.011,0,0
0,441.6,0.22,0.694,54,6,14.45,0.645,0,0
1,0.0,0.298,0.817,74,4,3.41,0.403,0,1
0,423.6,0.144,0.851,47,1,9.87,0.145,0.158,0
0,23.6,0.279,0.625,26,2,9.88,0.277,0.096,0
0,24.3,0.276,0.375,76,3,11.84,0.55,0.108,1
0,451.3,0.142,0.888,31,0,10.9,0.127,0,0
0,265.8,0.29,0.79,51,5,2.27,0.581,0,1
0,468.4,0.076,0.822,25,2,4.19,0.2,0,0
0,352.8,0.04,0.701,46,0,14.1,0.01,0,0
1,0.0,0.012,0.291,51,1,8.51,0.184,0,1
0,452.5,0.24,0.91,32,0,27.7,0.0,0.188,0
0,155.7,0.301,0.742,29,0,11.9,0.093,0.172,0
0,240.8,0.145,0.89,69,0,22.5,0.0,0.047,0
0,232.1,0.01,0.38,25,6,2.47,0.54,0,0
0,292.1,0.039,0.909,65,5,10.44,0.573,0,0
0,95.0,0.208,0.399,28,2,3.14,0.272,0.187,0
1,0.0,0.079,0.755,52,0,29.4,0.1,0.168,0
0,304.2,0.052,0.585,80,4,6.81,0.538,0.127,0
0,68.1,0.25,0.893,47,1,11.32,0.072,0.107,0
0,366.1,0.066,0.345,44,1,3.91,0.217,0,0
1,0.0,0.239,0.517,40,2,10.46,0.214,0,1
0,282.9,0.018,0.487,4,6,14.52,0.573,0,0
0,12.6,0.177,0.499,34,0,29.2,0.0,0.011,0
0,440.2,0.046,0.566,48,0,12.8,0.168,0.143,0
0,376.4,0.324,0.455,48,4,5.04,0.518,0.007,0
0,282.3,0.323,0.29,62,0,10.7,0.044,0.111,0
0,223.9,0.348,0.45,10,3,7.14,0.471,0.133,0
0,435.4,0.063,0.859,9,6,8.99,0.724,0,0
1,0.0,0.268,0.3,18,6,1.87,0.761,0.108,1
0,299.3,0.333,0.298,20,3,9.61,0.344,0.036,0
0,485.2,0.23,0.711,9,0,10.3,0.187,0.085,0
0,278.1,0.211,0.366,30,0,5.5,0.08,0.071,0
0,149.6,0.263,0.426,26,1,13.6,0.075,0.004,0
0,249.9,0.31,0.622,70,2,12.26,0.304,0,0
0,55.5,0.18,0.716,62,3,8.15,0.325,0.023,1
0,157.2,0.344,0.906,15,2,4.78,0.258,0.08,0
0,261.6,0.179,0.627,9,1,5.65,0.003,0,0
0,98.0,0.064,0.483,43,2,9.01,0.267,0,0
1,0.0,0.283,0.938,58,1,3.18,0.147,0,1
1,0.0,0.006,0.35,20,3,10.53,0.316,0.191,0
1,0.0,0.254,0.932,35,6,14.47,0.568,0,1
0,64.8,0.006,0.409,63,6,4.01,0.678,0.136,1
1,0.0,0.067,0.36,27,0,7.9,0.184,0,0
0,431.3,0.205,0.764,31,0,13.3,0.089,0.174,0
0,489.9,0.297,0.638,44,0,17.2,0.0,0.059,0
0,123.6,0.021,0.458,73,1,13.45,0.053,0,0
0,315.1,0.226,0.265,45,1,7.3,0.04,0.086,0
1,0.0,0.299,0.842,32,2,12.58,0.17,0,1
0,401.9,0.296,0.664,70,6,7.5,0.677,0.091,1
0,158.8,0.073,0.537,48,2,10.32,0.259,0.122,0
1,0.0,0.011,0.322,52,0,19.0,0.0,0.072,0
1,0.0,0.094,0.914,4,6,2.01,0.483,0.234,1
0,481.7,0.265,0.707,68,4,1.11,0.711,0.119,1
0,366.9,0.248,0.833,62,6,5.77,0.49,0.067,1
0,225.2,0.146,0.744,38,1,7.82,0.233,0.089,0
0,84.3,0.264,0.353,27,2,13.81,0.155,0.208,0
1,0.0,0.278,0.6,80,4,14.18,0.525,0.085,1
0,202.7,0.013,0.589,15,1,6.58,0.143,0.144,0
0,363.6,0.11,0.404,14,5,13.85,0.517,0,0
1,0.0,0.228,0.852,30,1,13.27,0.27,0.136,1
0,365.3,0.259,0.618,54,0,17.8,0.015,0.118,0
1,0.0,0.207,0.481,27,4,2.1,0.434,0.122,1
1,0.0,0.124,0.947,24,1,8.8,0.241,0.052,1
1,0.0,0.198,0.858,52,2,4.84,0.415,0,1
1,0.0,0.235,0.418,40,4,8.94,0.492,0,1
0,50.2,0.022,0.549,34,6,8.13,0.741,0,1
0,437.3,0.205,0.54,19,2,12.45,0.282,0.083,0
1,0.0,0.302,0.578,77,0,28.6,0.0,0,1
1,0.0,0.298,0.582,76,4,2.72,0.238,0.227,1
0,79.6,0.206,0.488,45,1,3.15,0.259,0.05,0
1,0.0,0.122,0.622,9,3,13.55,0.372,0,1
0,257.3,0.161,0.357,40,0,25.0,0.0,0.008,0
0,451.1,0.119,0.953,46,6,1.78,0.811,0.065,0
0,284.9,0.043,0.794,12,5,11.49,0.425,0.144,0
0,256.3,0.007,0.39,79,1,11.91,0.155,0.175,0
1,0.0,0.212,0.594,79,2,6.84,0.18,0,1
0,197.2,0.032,0.447,58,1,11.64,0.29,0.213,0
0,98.9,0.25,0.458,29,2,4.24,0.219,0.21,0
0,109.3,0.263,0.56,17,2,14.27,0.239,0.12,0
0,209.7,0.082,0.847,69,1,11.56,0.138,0.026,0
1,0.0,0.142,0.63,63,2,8.34,0.287,0.102,1
1,0.0,0.158,0.971,2,1,9.97,0.075,0.064,1
0,143.9,0.088,0.478,54,5,12.69,0.538,0.097,0
0,203.7,0.043,0.979,26,1,9.35,0.142,0.118,0
0,321.2,0.343,0.661,40,2,3.55,0.336,0.032,0
0,308.3,0.001,0.547,19,2,8.3,0.222,0.077,0
0,273.9,0.312,0.331,33,5,5.69,0.626,0.173,0
0,191.5,0.068,0.262,46,6,13.86,0.638,0.028,0
1,0.0,0.219,0.551,35,0,12.0,0.179,0,1
0,64.4,0.097,0.62,9,6,10.39,0.714,0.023,1
0,375.5,0.045,0.92,46,1,12.79,0.412,0.081,0
1,0.0,0.309,0.75,75,2,6.77,0.126,0.114,1
1,0.0,0.163,0.28,53,0,11.9,0.0,0.092,0
0,441.2,0.283,0.585,72,1,3.35,0.152,0.036,0
0,23.7,0.151,0.688,39,1,4.08,0.0,0.083,0
1,0.0,0.278,0.708,69,6,6.97,0.489,0.203,1
0,194.9,0.312,0.297,25,0,12.5,0.024,0.029,0
0,426.5,0.141,0.423,5,6,9.55,0.535,0,0
0,441.2,0.217,0.73,78,3,8.0,0.309,0.03,0
1,0.0,0.276,0.348,16,1,5.65,0.162,0,0
0,129.1,0.279,0.589,16,6,11.44,0.572,0.204,1
0,305.6,0.102,0.697,63,0,10.9,0.0,0.093,0
0,216.8,0.068,0.393,73,2,3.25,0.098,0.069,0
1,0.0,0.198,0.543,61,0,16.4,0.081,0.056,0
0,460.8,0.224,0.393,20,2,12.21,0.178,0.107,0
0,46.1,0.011,0.51,7,2,1.14,0.39,0.102,0
0,117.3,0.092,0.599,59,1,0.81,0.421,0,1
0,330.9,0.31,0.488,51,2,12.24,0.27,0,0
1,0.0,0.309,0.762,65,1,3.28,0.08,0.104,1
0,461.3,0.267,0.571,62,2,4.08,0.089,0.005,0
0,427.2,0.339,0.299,21,6,9.42,0.699,0.119,0
0,254.3,0.162,0.634,20,3,7.37,0.238,0,0
1,0.0,0.227,0.372,51,2,3.67,0.163,0.085,1
0,279.8,0.047,0.572,52,5,1.1,0.86,0,1
0,239.1,0.143,0.491,59,3,3.89,0.292,0,0
1,0.0,0.191,0.945,69,0,6.8,0.145,0.102,1
0,340.8,0.088,0.395,4,0,30.0,0.052,0,0
0,148.1,0.121,0.899,80,3,9.98,0.343,0.246,1
0,121.5,0.253,0.596,11,3,10.98,0.178,0.084,0
0,112.7,0.157,0.328,65,1,14.18,0.21,0.196,0
0,176.5,0.147,0.815,13,1,5.23,0.324,0.07,0
0,288.4,0.28,0.52,33,1,14.26,0.123,0.123,0
0,63.2,0.199,0.466,60,0,21.9,0.132,0.185,0
0,44.1,0.337,0.425,14,0,16.4,0.036,0.042,0
0,431.3,0.144,0.353,28,3,11.28,0.184,0.161,0
0,221.8,0.248,0.589,42,5,3.44,0.745,0.032,1
0,13.6,0.05,0.71,50,4,5.27,0.345,0.011,1
0,151.1,0.308,0.789,43,2,9.39,0.257,0.068,0
0,98.0,0.216,0.851,58,5,1.89,0.691,0.027,1
1,0.0,0.102,0.77,54,3,6.46,0.311,0.053,1
0,47.5,0.037,0.357,55,4,1.15,0.741,0.069,1
0,375.5,0.3,0.39,64,2,10.22,0.151,0,0
0,278.7,0.085,0.734,61,0,26.0,0.001,0.019,0
0,48.0,0.267,0.523,59,1,10.86,0.266,0.127,0
0,351.4,0.293,0.759,68,2,10.51,0.123,0.087,0
0,465.1,0.131,0.26,78,0,13.4,0.079,0.092,0
0,479.8,0.034,0.349,28,4,2.06,0.39,0.141,0
1,0.0,0.138,0.374,36,2,3.02,0.313,0,1
0,114.3,0.077,0.737,34,0,6.7,0.067,0.116,0
0,359.1,0.277,0.816,5,2,14.73,0.084,0.01,0
0,172.7,0.222,0.776,73,2,0.76,0.493,0.004,0
1,0.0,0.206,0.626,66,1,3.93,0.139,0,1
0,39.4,0.131,0.475,77,1,13.89,0.0,0,0
0,165.6,0.275,0.915,45,0,10.7,0.0,0.042,0
0,274.3,0.317,0.891,53,5,13.15,0.487,0.043,1
0,44.3,0.067,1.001,65,0,9.3,0.023,0,0
0,125.8,0.027,0.705,50,2,3.06,0.251,0.116,0
0,432.6,0.168,0.359,25,2,7.83,0.295,0.037,0
0,19.7,0.133,0.932,5,4,2.72,0.439,0,1
0,285.4,0.168,0.522,62,1,0.56,0.325,0.134,0
0,250.8,0.324,0.545,19,1,9.8,0.063,0.007,0
0,466.7,0.057,0.859,37,4,10.78,0.505,0,0
0,328.9,0.324,0.271,35,6,10.75,0.796,0.071,1
0,134.6,0.211,0.259,70,6,10.82,0.759,0,1
0,264.1,0.066,0.502,43,4,14.53,0.397,0,0
0,63.5,0.2,0.452,55,2,10.64,0.346,0.099,0
0,10.8,0.024,0.695,26,0,9.4,0.071,0.09,0
0,230.8,0.285,0.7,57,1,14.75,0.16,0.11,0
1,0.0,0.038,0.423,33,0,11.9,0.0,0.139,0
0,14.7,0.093,0.818,76,0,10.3,0.071,0.07,0
1,0.0,0.345,0.619,38,5,6.73,0.405,0.172,1
0,335.9,0.132,0.94,69,0,16.4,0.049,0.009,0
0,22.6,0.043,0.684,50,2,7.05,0.171,0,0
0,493.2,0.335,0.448,76,2,10.33,0.236,0.059,0
1,0.0,0.278,0.865,21,6,12.93,0.785,0,1
0,436.2,0.307,0.529,70,1,12.57,0.213,0.286,0
0,92.3,0.156,0.612,50,1,2.97,0.296,0.007,1
0,88.5,0.325,0.413,49,6,7.41,0.845,0.083,1
0,462.1,0.222,0.644,53,5,11.61,0.434,0,0
0,330.4,0.275,0.418,67,1,1.77,0.411,0.161,0
0,374.9,0.041,0.432,33,5,11.19,0.5,0.149,0
0,166.6,0.128,0.349,4,5,3.72,0.642,0,0
0,164.8,0.286,0.63,23,0,20.0,0.14,0.144,0
1,0.0,0.112,0.349,8,3,9.65,0.202,0.064,1
0,38.8,0.284,0.41,53,0,28.1,0.082,0,0
0,495.6,0.192,0.562,37,2,6.17,0.167,0,0
0,353.5,0.192,0.686,7,0,26.2,0.022,0,0
0,152.6,0.051,0.397,80,2,11.03,0.297,0,0
0,194.5,0.344,0.954,69,2,14.63,0.264,0.074,1
1,0.0,0.152,0.537,77,0,11.0,0.032,0,1
0,329.9,0.131,0.802,33,1,9.67,0.136,0.054,0
1,0.0,0.079,0.645,46,0,24.9,0.084,0.089,0
0,156.2,0.044,0.768,13,0,15.1,0.02,0,0
1,0.0,0.171,0.66,66,1,14.5,0.0,0.09,1
1,0.0,0.243,0.802,66,0,8.2,0.066,0.096,1
0,51.5,0.044,0.598,27,6,0.5,0.725,0,1
1,0.0,0.317,0.566,8,3,10.58,0.061,0.017,1
0,347.1,0.232,0.365,43,1,14.38,0.25,0.005,0
0,145.9,0.255,0.395,33,6,13.6,0.616,0.07,1
0,272.6,0.025,0.807,57,2,8.67,0.355,0,0
0,215.6,0.054,0.867,50,0,11.8,0.0,0.026,0
0,187.8,0.117,0.721,46,0,7.4,0.099,0.106,0
0,393.5,0.043,0.474,19,0,18.2,0.0,0,0
0,93.7,0.331,0.734,13,4,9.12,0.406,0.103,1
0,136.9,0.24,0.351,9,1,1.27,0.258,0,0
1,0.0,0.146,0.842,22,4,4.66,0.377,0.143,1
0,159.5,0.3,0.453,70,6,1.65,0.77,0,1
0,281.5,0.172,0.585,16,0,17.0,0.08,0,0
1,0.0,0.244,0.355,81,2,10.69,0.25,0,1
1,0.0,0.239,0.925,14,1,3.03,0.0,0.021,1
0,476.7,0.148,0.822,38,6,4.12,0.485,0.017,0
0,139.7,0.001,0.4,42,6,7.98,0.707,0.197,0
1,0.0,0.297,0.644,39,1,5.63,0.36,0.055,1
0,221.1,0.069,0.355,66,3,0.6,0.586,0.057,0
0,203.7,0.105,0.663,47,0,29.7,0.0,0,0
0,186.0,0.305,0.415,64,2,6.61,0.378,0.04,0
0,474.7,0.336,0.534,18,6,10.86,0.573,0.171,0
0,74.4,0.335,0.45,80,6,3.93,0.57,0.018,1
1,0.0,0.258,0.439,71,2,4.09,0.319,0.128,1
0,497.2,0.087,0.674,68,4,9.36,0.621,0.109,0
0,122.4,0.046,0.369,63,2,0.76,0.462,0.202,0
0,118.7,0.149,0.688,43,0,11.7,0.133,0.036,0
0,131.0,0.313,0.279,40,1,4.64,0.124,0.157,0
0,188.2,0.107,0.742,65,2,5.73,0.282,0.099,0
1,0.0,0.185,0.418,7,2,1.76,0.511,0.12,1
0,104.5,0.156,0.562,38,1,11.02,0.133,0.104,0
0,31.5,0.067,0.901,10,2,13.48,0.099,0.09,0
0,266.6,0.333,0.412,65,1,1.16,0.28,0,0
0,373.0,0.139,0.599,72,0,15.9,0.0,0.044,0
0,100.2,0.056,0.256,16,3,7.81,0.437,0.039,0
0,155.2,0.094,0.277,51,1,1.07,0.424,0.183,0
0,324.8,0.087,0.251,37,6,9.27,0.615,0.027,0
1,0.0,0.092,0.647,40,0,20.6,0.144,0.055,0
0,486.1,0.188,0.683,33,6,4.23,0.57,0,0
0,410.3,0.077,0.628,31,0,16.2,0.037,0,0
0,98.9,0.065,0.544,58,6,4.59,0.742,0,1
0,346.8,0.066,0.39,30,0,23.1,0.158,0.151,0
0,20.2,0.289,0.353,71,1,2.57,0.153,0.041,0
0,479.2,0.037,0.315,64,3,11.52,0.493,0,0
0,37.4,0.242,0.265,76,0,18.6,0.157,0.183,0
0,79.5,0.319,0.485,36,6,4.66,0.784,0,1
0,251.0,0.347,0.804,36,0,20.4,0.0,0.183,0
0,448.8,0.212,0.471,58,6,6.67,0.769,0,0
0,142.8,0.175,0.882,72,0,26.5,0.0,0.187,0
0,166.9,0.137,0.335,27,1,2.6,0.127,0.087,0
0,217.7,0.243,0.696,64,6,13.86,0.557,0,1
1,0.0,0.187,0.406,71,5,10.87,0.379,0.027,1
0,125.2,0.001,0.553,64,0,6.5,0.0,0,0
0,154.4,0.05,0.971,50,1,12.5,0.201,0.065,0
0,369.2,0.244,0.699,7,0,16.9,0.013,0.011,0
0,189.0,0.028,0.707,28,0,24.1,0.0,0.058,0
0,211.6,0.118,0.456,62,0,27.0,0.008,0.181,0
1,0.0,0.056,0.767,23,4,10.82,0.443,0.154,1
0,143.2,0.032,0.349,54,2,9.48,0.317,0.06,0
1,0.0,0.212,0.601,41,6,9.81,0.678,0.008,1
0,142.3,0.037,0.843,78,1,4.59,0.014,0.022,0
1,0.0,0.004,0.371,77,1,4.4,0.278,0.035,1
0,33.5,0.033,0.446,45,2,7.75,0.181,0.019,0
0,487.2,0.246,0.815,17,0,17.6,0.053,0.033,0
0,152.2,0.053,0.607,52,1,12.21,0.041,0,0
0,496.8,0.176,0.91,38,3,11.89,0.3,0.114,0
0,127.2,0.349,0.337,18,0,25.1,0.0,0.151,0
1,0.0,0.304,0.555,60,1,2.84,0.132,0.125,1
0,136.4,0.166,0.577,64,0,29.3,0.083,0,0
0,206.5,0.3,0.463,2,2,5.92,0.201,0,0
0,314.1,0.225,0.654,62,0,12.3,0.253,0.094,0
0,119.3,0.306,0.516,13,3,2.08,0.37,0.085,1
0,107.7,0.115,0.637,54,3,2.16,0.325,0,1
0,81.3,0.075,0.587,33,0,28.4,0.0,0.115,0
0,476.8,0.239,0.357,63,0,11.8,0.056,0.192,0
0,436.9,0.184,0.392,75,0,27.4,0.0,0.139,0
0,246.0,0.187,0.595,8,2,12.43,0.314,0,0
0,48.1,0.234,0.642,41,0,8.8,0.0,0.062,0
0,138.8,0.253,0.927,24,6,14.56,0.613,0.096,1
0,215.9,0.191,0.401,55,1,14.59,0.135,0.044,0
0,256.0,0.304,0.574,29,2,5.61,0.233,0,0
0,65.6,0.062,0.604,61,4,6.82,0.418,0.165,1
1,0.0,0.328,0.895,68,0,21.2,0.0,0,1
0,377.5,0.218,0.503,7,0,21.7,0.091,0.006,0
0,105.8,0.164,0.758,22,2,13.67,0.125,0,0
0,13.7,0.131,0.432,48,1,12.66,0.179,0,0
0,26.0,0.009,0.644,5,2,5.36,0.464,0.293,0
0,282.3,0.137,0.838,8,2,2.37,0.07,0,0
1,0.0,0.055,0.707,17,0,20.8,0.242,0.083,0
0,420.3,0.056,0.306,26,0,20.7,0.03,0.039,0
0,290.2,0.009,0.758,36,0,11.0,0.0,0.104,0
1,0.0,0.294,0.738,46,0,28.4,0.0,0,0
0,464.3,0.043,0.805,70,0,17.4,0.028,0,0
0,59.3,0.278,0.797,72,1,10.47,0.089,0.099,1
0,156.4,0.316,0.669,77,0,29.4,0.0,0.142,0
1,0.0,0.21,0.688,66,1,9.29,0.032,0.028,1
0,66.2,0.076,0.298,65,1,4.47,0.08,0.061,0
1,0.0,0.228,0.617,16,2,13.87,0.25,0.103,1
0,60.4,0.278,0.75,19,2,13.3,0.119,0,0
0,315.2,0.213,0.462,73,3,2.93,0.467,0.07,0
1,0.0,0.123,0.719,27,0,13.9,0.007,0.155,1
0,81.1,0.11,0.257,39,1,7.25,0.21,0,0
1,0.0,0.074,0.411,4,6,1.58,0.763,0.115,1
0,165.7,0.112,0.527,76,1,6.61,0.194,0.084,0
1,0.0,0.007,0.858,81,3,4.62,0.437,0.094,1
1,0.0,0.321,0.26,21,0,25.7,0.0,0.084,0
0,282.7,0.11,0.417,23,3,12.81,0.434,0.09,0
0,469.5,0.036,0.256,68,2,12.99,0.238,0,0
0,409.9,0.188,0.927,48,0,7.8,0.134,0.08,0
0,347.1,0.277,0.356,64,5,7.18,0.69,0.163,0
0,322.1,0.234,0.643,19,1,5.17,0.0,0.043,0
0,385.4,0.249,0.852,55,0,6.9,0.0,0.052,0
